EMPID,Name,Department,DOB,Sex
KT24HR01,ALICE,HUMAN RESOURCE,24.11.1998,M
KT24HR02,BOB,HUMAN RESOURCE,23.12.1999,M
KT24HR03,JOHN,HUMAN RESOURCE,21.07.2002,M
KT24SE01,DAN,SOFTWARE ENGINEERING,04.05.1997,M
KT24SE02,JACK,SOFTWARE ENGINEERING,17.05.1998,M
KT24SE03,DAVID,SOFTWARE ENGINEERING,27.09.2003,M
KT24SD01,WILLEY,SOFTWARE DEVELOPMENT,03.07.1999,M
KT24SD02,SAM,SOFTWARE DEVELOPMENT,22.11.2002,M
KT24SD03,RAMSEY,SOFTWARE DEVELOPMENT,06.08.1996,M
KT24PD01,SUSAN,PYTHON DEVELOPER,02.01.1997,M
KT24PD02,TOM,PYTHON DEVELOPER,23.12.1999,M
KT24PD03,PAUL,PYTHON DEVELOPER,24.11.1998,M
